Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY,CAT,JNJ,MSFT,SPY
Date,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01,191.1044158935547,151.1860809326172,298.0705871582031,428.4541931152344,205.35000610351562,170.8800048828125,308.760009765625,452.95001220703125,205.7899932861328,171.97999572753906,310.6300048828125,453.6300048828125,200.5399932861328,169.42999267578125,305.1300048828125,446.94000244140625,200.8000030517578,171.74000549316406,310.4100036621094,450.67999267578125,4026400,8154700,40950400,123155400
2022-02-02,190.722900390625,152.85829162597656,302.60784912109375,432.61627197265625,204.94000244140625,172.77000427246094,313.4599914550781,457.3500061035156,205.8000030517578,172.99000549316406,315.1199951171875,458.1199951171875,201.39999389648438,169.64999389648438,308.8800048828125,453.04998779296875,203.1999969482422,169.64999389648438,309.6300048828125,455.5,3492300,7382800,36636000,117361000
2022-02-03,186.67462158203125,152.84942626953125,290.8206481933594,422.4476013183594,200.58999633789062,172.75999450683594,301.25,446.6000061035156,205.8699951171875,173.6199951171875,311.2300109863281,452.9700012207031,200.08999633789062,171.0399932861328,299.9599914550781,445.7099914550781,205.0,172.25999450683594,309.489990234375,450.95001220703125,2748200,6240400,43730000,118024400
2022-02-04,184.6459197998047,151.84963989257812,295.34820556640625,424.43408203125,198.41000366210938,171.6300048828125,305.94000244140625,448.70001220703125,201.00999450683594,172.97999572753906,308.79998779296875,452.7799987792969,196.49000549316406,170.1199951171875,299.9700012207031,443.8299865722656,200.2100067138672,171.0,300.2099914550781,446.3500061035156,3930800,6392200,35096500,118454400
2022-02-07,185.9580841064453,151.34539794921875,290.531005859375,423.0718994140625,199.82000732421875,171.05999755859375,300.95001220703125,447.260009765625,201.52999877929688,171.74000549316406,307.8399963378906,450.989990234375,198.02999877929688,170.00999450683594,299.8999938964844,445.8500061035156,198.83999633789062,171.41000366210938,306.1700134277344,449.510009765625,2402000,6065700,28533300,84472900
2022-02-08,187.5215301513672,151.74349975585938,294.01593017578125,426.5528564453125,201.5,171.50999450683594,304.55999755859375,450.94000244140625,202.30999755859375,172.0500030517578,305.55999755859375,451.9200134277344,199.22999572753906,170.47999572753906,299.95001220703125,445.2200012207031,200.25999450683594,171.02000427246094,301.25,446.7300109863281,2407100,6296100,32421200,81012000
2022-02-09,189.475830078125,151.7257843017578,300.4356994628906,432.7959289550781,203.60000610351562,171.49000549316406,311.2099914550781,457.5400085449219,204.10000610351562,172.24000549316406,311.92999267578125,457.8800048828125,202.08999633789062,171.25,307.3900146484375,455.010009765625,202.63999938964844,172.07000732421875,309.8699951171875,455.2200012207031,2743700,5387500,31284700,92589900
2022-02-10,188.98260498046875,149.8943634033203,291.91143798828125,425.0205383300781,203.07000732421875,169.4199981689453,302.3800048828125,449.32000732421875,206.75,171.22000122070312,309.1199951171875,457.7099914550781,201.55999755859375,169.3000030517578,300.70001220703125,447.20001220703125,202.57000732421875,171.2100067138672,304.0400085449219,451.3399963378906,3538500,10355300,45386200,140103700
2022-02-11,187.27957153320312,148.3814697265625,284.82550048828125,416.6396179199219,201.24000549316406,167.7100067138672,295.0400085449219,440.4599914550781,204.64999389648438,170.14999389648438,304.2900085449219,451.6099853515625,200.1300048828125,167.5399932861328,294.2200012207031,438.94000244140625,203.4199981689453,169.1199951171875,303.19000244140625,449.4100036621094,3826700,13125300,39175600,153214600
2022-02-14,186.02322387695312,146.51461791992188,284.78692626953125,415.277587890625,199.88999938964844,165.60000610351562,295.0,439.0199890136719,201.6999969482422,167.97000122070312,296.760009765625,441.6000061035156,198.11000061035156,163.80999755859375,291.3500061035156,435.3399963378906,200.9499969482422,167.7100067138672,293.7699890136719,439.9200134277344,2730500,8967600,36359500,123006300
2022-02-15,189.2990264892578,148.02755737304688,290.0675354003906,421.9747009277344,203.41000366210938,167.30999755859375,300.4700012207031,446.1000061035156,204.4499969482422,168.10000610351562,300.79998779296875,446.2799987792969,200.00999450683594,166.00999450683594,297.0199890136719,443.17999267578125,200.6999969482422,166.1300048828125,300.010009765625,443.7300109863281,2752600,6631400,27058300,88482700
2022-02-16,189.51307678222656,147.9390411376953,289.7289733886719,422.4476013183594,203.63999938964844,167.2100067138672,299.5,446.6000061035156,205.4199981689453,167.83999633789062,300.8699951171875,448.05999755859375,203.0,165.7100067138672,293.67999267578125,441.94000244140625,203.11000061035156,166.49000549316406,298.3699951171875,443.92999267578125,2253900,8482400,29982100,84863600
2022-02-17,181.23048400878906,147.03663635253906,281.2451477050781,413.42352294921875,194.74000549316406,166.19000244140625,290.7300109863281,437.05999755859375,201.75999450683594,167.4499969482422,296.79998779296875,446.57000732421875,194.44000244140625,164.9199981689453,290.0,436.4200134277344,201.0,167.2100067138672,296.3599853515625,443.2200012207031,4699600,6227600,32461600,102259100
2022-02-18,178.63401794433594,145.46055603027344,278.5364685058594,410.74658203125,191.9499969482422,163.36000061035156,287.92999267578125,434.2300109863281,195.6199951171875,165.36000061035156,293.8599853515625,438.6600036621094,191.17999267578125,162.94000244140625,286.30999755859375,431.82000732421875,193.36000061035156,164.97999572753906,293.04998779296875,437.3299865722656,4385200,6423200,34264000,132642900
2022-02-22,177.9453887939453,143.48379516601562,278.3333435058594,406.33868408203125,191.2100067138672,161.13999938964844,287.7200012207031,429.57000732421875,194.89999389648438,163.74000549316406,291.5400085449219,435.5,190.5500030517578,160.44000244140625,284.5,425.8599853515625,191.9499969482422,163.57000732421875,285.0,431.8900146484375,3488000,6868900,41736100,124391800
2022-02-23,173.72032165527344,143.55506896972656,271.1263122558594,399.1307678222656,186.6699981689453,161.22000122070312,280.2699890136719,421.95001220703125,192.32000732421875,162.63999938964844,291.70001220703125,433.260009765625,186.3699951171875,160.85000610351562,280.1000061035156,421.3500061035156,191.72000122070312,161.50999450683594,290.17999267578125,432.6600036621094,3550400,8016900,37811200,132578000
2022-02-24,171.87767028808594,140.81251525878906,284.9791564941406,405.13720703125,184.69000244140625,158.13999938964844,294.5899963378906,428.29998779296875,185.27000427246094,160.1300048828125,295.1600036621094,428.760009765625,179.6699981689453,155.72000122070312,271.5199890136719,410.6400146484375,182.02999877929688,159.77999877929688,272.510009765625,411.0199890136719,5919500,12883400,56989700,213942900
2022-02-25,174.08326721191406,147.81130981445312,287.6103820800781,414.07623291015625,187.05999755859375,166.0,297.30999755859375,437.75,187.92999267578125,166.99000549316406,297.6300048828125,437.8399963378906,184.1199951171875,159.6999969482422,291.6499938964844,427.8599853515625,184.94000244140625,160.0,295.1400146484375,429.6099853515625,3594600,11340400,32546700,121804500
2022-02-28,174.56719970703125,146.53797912597656,289.0421447753906,413.0168151855469,187.5800018310547,164.57000732421875,298.7900085449219,436.6300048828125,188.77000427246094,165.17999267578125,299.1400146484375,438.20001220703125,183.6699981689453,162.3800048828125,293.0,430.70001220703125,184.33999633789062,162.8699951171875,294.30999755859375,432.0299987792969,5168500,9373500,34627500,145615000
2022-03-01,170.14671325683594,146.03045654296875,285.3274841308594,406.7264404296875,182.8300018310547,164.0,294.95001220703125,429.9800109863281,188.22000122070312,164.75,299.9700012207031,437.1700134277344,180.63999938964844,162.41000366210938,292.1499938964844,427.1099853515625,187.77000427246094,163.0399932861328,296.3999938964844,435.0400085449219,5110600,8737800,31217800,137785900
2022-03-02,179.24826049804688,147.84693908691406,290.396484375,414.2086181640625,192.61000061035156,166.0399932861328,300.19000244140625,437.8900146484375,193.55999755859375,167.6300048828125,301.4700012207031,439.7200012207031,185.0,164.0399932861328,293.70001220703125,431.57000732421875,185.1999969482422,164.41000366210938,295.3599853515625,432.3699951171875,5849900,6793300,31873000,117726500
2022-03-03,181.3328399658203,150.01951599121094,286.26580810546875,412.14654541015625,194.85000610351562,168.47999572753906,295.9200134277344,435.7099914550781,196.5800018310547,169.33999633789062,303.1300048828125,441.1099853515625,192.33999633789062,166.32000732421875,294.04998779296875,433.79998779296875,193.32000732421875,166.6999969482422,302.8900146484375,440.4700012207031,4429700,7333700,27314500,105501700
2022-03-04,182.08665466308594,150.91000366210938,280.4034729003906,408.7980041503906,195.66000366210938,169.47999572753906,289.8599853515625,432.1700134277344,196.00999450683594,169.86000061035156,295.6600036621094,433.3699951171875,190.30999755859375,166.85000610351562,287.1700134277344,427.8800048828125,191.10000610351562,167.63999938964844,294.2900085449219,431.75,4334700,6302500,32356500,113978200
